brand,detail,detail_desc,goods_desc,goods_id,goods_title,pl_id,scj_price,title,url,weight,zp_price
极白,安吉白茶,"规格：3.3g*30泡,产地：浙江·湖州·安吉,食品生产许可证：SC11433052301053,采摘季节：春季,储藏方法：避光、密封、干燥、无异味处冷藏,保质期：18个月,等级：一级,包装规格：长30cm*宽12cm*高8cm",甘甜不苦涩 家庭自饮,8703601,极白 安吉白茶 2018年春茶 绿茶 一级 国宝极白V5 99g 铁盒装,11840,360.00元,绿茶,https://www.zuipin.cn/goods?id=8703601,99克,360.00元
千道湾,安吉白茶,"规格：3g*30泡,产地：浙江安吉,食品生产许可证：SC11433052300124,采摘季节：春季,储藏方法：低温、密封、避光、干燥,保质期：18个月,等级：一级,包装规格：长25.5cm*宽18cm*高7.5cm",拜访亲友伴手礼,8703663,千道湾 2018年安吉白茶 青山简装 一级 90g,11869,280.00元,绿茶,https://www.zuipin.cn/goods?id=8703663,90克,280.00元
千道湾,安吉白茶,"规格：45g*4,产地：浙江安吉,食品生产许可证：SC11433052300124,采摘季节：春季,储藏方法：低温、密封、避光、干燥,保质期：18个月,等级：一级,包装规格：长35cm*宽25cm*高9.2cm",难得少有的茶种  送贵客,8703661,千道湾 2018年安吉白茶 青山礼盒 一级 180g,11867,560.00元,绿茶,https://www.zuipin.cn/goods?id=8703661,180克,560.00元
千道湾,安吉白茶,"规格：45g*4,产地：浙江安吉,食品生产许可证：SC11433052300124,采摘季节：春季,储藏方法：低温、密封、避光、干燥,保质期：18个月,等级：特级,包装规格：长35cm*宽25cm*高9.2cm",高氨基酸茶 送长辈父母,8703624,千道湾 2018年安吉白茶 银山礼盒 特级 180g,11727,880.00元,绿茶,https://www.zuipin.cn/goods?id=8703624,180克,880.00元
极白,安吉白茶,"规格：50g*4,产地：浙江·湖州·安吉,食品生产许可证：SC11433052301053,采摘季节：春季,储藏方法：避光、密封、干燥、无异味处冷藏,保质期：18个月,等级：一级,包装规格：长32.2cm*宽23.2cm*高8.2cm",高氨基酸 悦喝悦年轻,8703600,极白 安吉白茶 贵宾国礼茶 2018年春茶 绿茶 一级 经典·极白V3 200g 礼盒装,11839,600.00元,绿茶,https://www.zuipin.cn/goods?id=8703600,200克,600.00元
极白,安吉白茶,"规格：100g/罐,产地：浙江·湖州·安吉,食品生产许可证：SC11433052301244,采摘季节：春季,储藏方法：避光、密封、干燥、无异味处冷藏,保质期：18个月,等级：一级",办公自饮 清香持久,8703602,极白 安吉白茶 2018年春茶 绿茶 一级 独白 100g 单罐,11841,260.00元,绿茶,https://www.zuipin.cn/goods?id=8703602,100克,260.00元
极白,安吉白茶,"规格：50g*2,产地：浙江·湖州·安吉,食品生产许可证：SC11433052301053,采摘季节：春季,储藏方法：避光、密封、干燥、无异味处冷藏,保质期：18个月,等级：一级,包装规格：长27cm*宽12cm*高10.2cm",高氨基酸含量 滋味鲜爽,8703599,极白 安吉白茶 贵宾国礼茶 2018年春茶 绿茶 一级 国宝极白V5 100g 礼盒装,11838,380.00元,绿茶,https://www.zuipin.cn/goods?id=8703599,100克,380.00元
顶峰,安吉白茶,"产地：浙江安吉,食品生产许可证：SC11433010603038,采摘季节：明前,储藏方法：干燥、防潮、防晒、防异味（建议冷藏）,保质期：12个月,等级：特级",新鲜 甘甜,8684496-1,顶峰 安吉白茶 2018年明前茶 绿茶 特级50g 精选单罐,8075,172.00元,绿茶,https://www.zuipin.cn/goods?id=8684496-1,50克,172.00元
千道湾,安吉白茶,"规格：50g/罐,产地：浙江安吉,食品生产许可证：SC11433052300124,采摘季节：春季,储藏方法：低温、密封、避光、干燥,保质期：18个月,等级：一级,包装规格：直径8.5cm*高14cm",办公居家自饮,8703664,千道湾 2018年安吉白茶 青山罐装 一级 50g,11870,120.00元,绿茶,https://www.zuipin.cn/goods?id=8703664,50克,120.00元
八桂凌云,凌云白毫绿茶,"规格：5g*24袋,产地：广西百色市凌云县,食品生产许可证：SC11445102700492,采摘季节：夏季,储藏方法：防潮、防异味、阴凉避光、密封保存,保质期：18个月,包装规格：长30cm*宽11cm*高6.5cm",7年有机认证,8699598,【有机茶】八桂凌云 白毫绿茶 雾中缘凌螺春 120g 2018春茶,3302,218.00元,绿茶,https://www.zuipin.cn/goods?id=8699598,120克,218.00元
